nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=67, dl_dst=fa:16:3e:cd:bc:f5
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=56599, dl_dst=fa:16:3e:74:96:df
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=58185, dl_dst=fa:16:3e:c4:da:9c
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=60712, dl_dst=fa:16:3e:d2:e6:19
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=256, dl_dst=fa:16:3e:de:57:c6
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=57197, dl_dst=fa:16:3e:05:4c:f7
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=57422, dl_dst=fa:16:3e:af:ed:11
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=35370, dl_dst=fa:16:3e:55:af:e2
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=59530, dl_dst=fa:16:3e:d5:9f:b9
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=56768, dl_dst=fa:16:3e:4d:51:e1
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=67, tp_dst=34279, dl_dst=fa:16:3e:7d:21:fe
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=57797, dl_dst=fa:16:3e:11:5f:ab
nw_src=197.126.215.5/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34835, dl_dst=fa:16:3e:86:6d:8b
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=68, dl_dst=fa:16:3e:fb:ad:1c
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=33669, dl_dst=fa:16:3e:4d:d0:26
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34581, dl_dst=fa:16:3e:e3:e2:74
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=57138, dl_dst=fa:16:3e:55:6f:89
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=55728, dl_dst=fa:16:3e:a5:a3:5e
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34409, dl_dst=fa:16:3e:84:b9:0e
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=60416, dl_dst=fa:16:3e:2e:f0:3f
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=57383, dl_dst=fa:16:3e:7f:15:03
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=55684, dl_dst=fa:16:3e:75:18:6b
nw_src=197.126.215.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=58865, dl_dst=fa:16:3e:54:de:1a
nw_src=201.96.23.29/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=33322, dl_dst=fa:16:3e:c4:b1:75
nw_src=201.96.23.29/32, nw_dst=76.135.24.69/32, tp_src=67, tp_dst=34530, dl_dst=fa:16:3e:59:4b:93
nw_src=201.96.23.29/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=33985, dl_dst=fa:16:3e:24:5a:6d
nw_src=201.96.23.29/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=58705, dl_dst=fa:16:3e:c6:e3:b3
nw_src=201.96.23.29/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=58933, dl_dst=fa:16:3e:40:aa:44
nw_src=201.96.23.27/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=57001, dl_dst=fa:16:3e:ac:0e:ce
nw_src=201.96.23.25/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=60281, dl_dst=fa:16:3e:ad:fa:4f
nw_src=201.96.23.15/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=56509, dl_dst=fa:16:3e:fa:2e:9b
nw_src=201.96.23.15/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=33463, dl_dst=fa:16:3e:ea:27:e4
nw_src=201.96.23.15/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=60693, dl_dst=fa:16:3e:89:cd:85
nw_src=201.96.23.12/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34749, dl_dst=fa:16:3e:e7:41:2a
nw_src=201.96.23.8/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=59794, dl_dst=fa:16:3e:01:a6:7c
nw_src=201.96.23.6/32, nw_dst=76.135.24.69/32, tp_src=445, tp_dst=34856, dl_dst=fa:16:3e:c8:00:ac
