[0, '****************', '************************************************', '111110100001011000111110110110111010100100100110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000010000000']
[1, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000100000']
[2, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0010000000000000']
[3, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000110111011', '0000000000000001']
[4, '****************', '************************************************', '111110100001011000111110010010000111010111010010', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1000000000000000']
[5, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0100000000000000']
[6, '****************', '************************************************', '111110100001011000111110011100000011111001000011', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000100000000']
[7, '****************', '************************************************', '111110100001011000111110101011000100100111001110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000100000000000']
[8, '****************', '************************************************', '111110100001011000111110001000100000110001010101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000100']
[9, '****************', '************************************************', '111110100001011000111110010000010010001101101111', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000001000000000']
[10, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0001000000000000']
[11, '****************', '************************************************', '111110100001011000111110000111011000000100000101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000001']
[12, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000001000']
[13, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000010000']
[14, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000010000000000']
[15, '****************', '************************************************', '111110100001011000111110111001011001001010100101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000000']
[16, '****************', '************************************************', '111110100001011000111110100001010001000011101101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1100000000000000']
[17, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1111111111000000']
[18, '****************', '************************************************', '111110100001011000111110110110010011001011000000', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0010000000000000']
[19, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000100000']
[20, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000001']
[21, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000000010110', '1000000000000000']
[22, '****************', '************************************************', '111110100001011000111110101011101110101011010010', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000001000']
[23, '****************', '111110100001011000111110000001011011100110100101', '111110100001011000111110010001011011010001111011', '****************', '************', '***', '10000000010011000010001101110110', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000010000']
[24, '****************', '************************************************', '111110100001011000111110011110000101111011110110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000010000000']
[25, '****************', '************************************************', '111110100001011000111110110000100001100000101100', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0100000000000000']
[26, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000100000000']
[27, '****************', '111110100001011000111110011101001011111111110100', '111110100001011000111110100001110100101011010011', '****************', '************', '***', '10000000010011000010001101110110', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000001000000000']
[28, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000011']
[29, '****************', '************************************************', '111110100001011000111110000001101000100100000101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000010000000000']
[30, '****************', '************************************************', '111110100001011000111110000100010000001000001100', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1111111100000000']
[31, '****************', '************************************************', '111110100001011000111110001101111101001011101110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000100']
[32, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0001000000000000']
[33, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000100']
[34, '****************', '111110100001011000111110111010001111101010000010', '111110100001011000111110111011111001111111000011', '****************', '************', '***', '10000000010011000010001101111011', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000010']
[35, '****************', '************************************************', '111110100001011000111110111101110111000001011110', '****************', '************', '***', '10000000010011000010001101111011', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0010000000000000']
[36, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000000']
[37, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000010000']
[38, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0100000000000000']
[39, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000010']
[40, '****************', '************************************************', '111110100001011000111110010000001010011100111111', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000100']
[41, '****************', '************************************************', '111110100001011000111110011000111010011000101110', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0100000000000000']
[42, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000010000']
[43, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1000000000000000']
[44, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000100000000000']
[45, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000100000']
[46, '****************', '************************************************', '111110100001011000111110110100000000101100010111', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000100']
[47, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000010']
[48, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000001']
[49, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000100000000000']
[50, '****************', '************************************************', '111110100001011000111110100111001111110100110000', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0001000000000000']
[51, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000100000000']
[52, '****************', '************************************************', '111110100001011000111110111111000111110011001111', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0010000000000000']
[53, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000100000000000']
[54, '****************', '************************************************', '111110100001011000111110011000001111110011110111', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000100000000']
[55, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1111111000000000']
[56, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000010']
[57, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000000010']
[58, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0001000000000000']
[59, '****************', '************************************************', '111110100001011000111110100101100100100010001100', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000000100000']
[60, '****************', '************************************************', '111110100001011000111110011010101100011010110101', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000001000000000']
[61, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '1111110000000000']
[62, '****************', '************************************************', '************************************************', '****************', '************', '***', '********************************', '01110011101000111010101100011110', '******', '********', '0000000001000011', '0000000001000000']
